Core_Academic_Spaces	ROOM TYPE	Existing_Room_NFA	Existing_#_Rooms	Existing_Area_Totals	Proposed_Keep_Room_NFA	Proposed_Keep_#_Rooms	Proposed_Keep_Area_Totals	Proposed_New_Room_NFA	Proposed_New_#_Rooms	Proposed_New_Area_Totals	Totals_Proposed_ROOMNFA	Totals_Proposed_#_OF_RMS	Totals_Proposed_Area_Totals	Guideline_Room_NFA	Guideline_#_Rooms	Guideline_Area_Totals	Comments
Special Education	Resource Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	500	"=2+ROUNDUP(((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!B2)-600)/400,0)"	=P12*O12	1/2 size Genl. Clrm.
Special Education	Small Group Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	500	"=2+ROUNDUP(((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!B2)-600)/400,0)"	=P13*O13	1/2 size Genl. Clrm.
Art & Music	Art Classroom - 25 seats			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	1200	"=ROUNDUP(((Enrollment_SQF[Total Enrollment]*Academic_Section_Size!H9/Academic_Section_Size!G9))*(Instruction_Cycles!B2/Instruction_Cycles!B3),0)"	=P14*O14	Assumed use - 25% Population - 5 times/week
Art & Music	Art Workroom w/ Storage & kiln			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	150	=P14	=P15*O15	
Art & Music	Band - 50 - 100 seats			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	1500	"=ROUNDUP(((Enrollment_SQF[Total Enrollment]*Academic_Section_Size!H10/Academic_Section_Size!G10))*(Instruction_Cycles!B2/Instruction_Cycles!B3),0)"	=P16*O16	Assumed use - 25% Population - 5 times/week
Art & Music	Chorus - 50 - 100 seats			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	1500	"=ROUNDUP(((Enrollment_SQF[Total Enrollment]*Academic_Section_Size!H10/Academic_Section_Size!G10))*(Instruction_Cycles!$B$2/Instruction_Cycles!$B$3),0)"	=P17*O17	
Art & Music	Ensemble			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	200	1	=P18*O18	
Art & Music	Music Practice			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	75	"=IF(2+ROUNDUP((Q72-600)/200,0)=-1,0,(2+ROUNDUP((Q72-600)/200,0)))"	=P19*O19	
Art & Music	Music Storage			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	500	1	=P20*O20	
Vocations & Technology	"Tech Clrm. -  (E.G. Drafting, Business)"			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	1200	"=ROUNDUP(((Enrollment_SQF[Total Enrollment]*Academic_Section_Size!H12/Academic_Section_Size!G12))*(Instruction_Cycles!$B$2/Instruction_Cycles!$B$3),0)"	=P21*O21	Assumed use - 50% Population - 5 times/week
Vocations & Technology	"Tech Shop -  (E.G. Consumer, Wood)"			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	2000	"=IF(ROUNDUP((($Q$72*0.5/23))*(5/30),0)-1=-1,1,ROUNDUP((($Q$72*0.5/23))*(5/30),0)-1)"	=P22*O22	Assumed use - 50% Population - 5 times/week
Health & Physical Education	Gymnasium 			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	12000	1	=P23*O23	
Health & Physical Education	PE Alternatives	50	10	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	3000	1	=P24*O24	
Health & Physical Education	Gym Storeroom	8000	1	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	300	1	=P25*O25	
Health & Physical Education	Locker Rooms - Boys / Girls w/ Toilets	5000	1	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]	5000	1	=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]	2500	1	=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	=(Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!B2)*5.6	1	=P26*O26	5.6 sf/student total
Health & Physical Education	Phys. Ed. Storage	500	1	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	500	1	=P27*O27	
Health & Physical Education	Athletic Director's Office	150	1	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	150	1	=P28*O28	
Health & Physical Education	Health Instructor's Office w/ Shower & Toilet			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	250	1	=P29*O29	
Media Center	Media Center / Reading Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,3650,3650+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)*6.25)"	1	=P30*O30	
Media Center	Computer Lab			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]				
Auditorium / Drama	Auditorium			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)*2/3<750,(Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)*2/3,750)*10"	1	=P32*O32	2/3 Enrollment @ 10 SF/Seat - 750 seats MAX
Auditorium / Drama	Stage			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	1600	1	=P33*O33	
Auditorium / Drama	Auditorium Storage			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)*2/3<750,400+((500-400)/400)*((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600),500)"	1	=P34*O34	
Auditorium / Drama	Make-up / Dressing Rooms			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	300	2	=P35*O35	
Auditorium / Drama	Controls / Lighting / Projection			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	200	1	=P36*O36	
Dining & Food Service	Cafeteria / Student Lounge / Break-out	7000	1	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]	7000	1	=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]	1010	1	=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	=(Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)/Instruction_Cycles!B6*15	1	=P37*O37	 3 seatings - 15SF per seat
Dining & Food Service	Chair / Table Storage			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,300,300+ROUND(((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)/400*100,0))"	1	=P38*O38	
Dining & Food Service	Scramble Serving Area			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	600	1	=P39*O39	
Dining & Food Service	Kitchen			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<300,1600,1600+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-300))"	1	=P40*O40	1600 SF for first 300 + 1 SF/student Add'l
Dining & Food Service	Staff Lunch Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	"=IF((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)<600,400,400+((Enrollment_SQF[Total Enrollment]+Special_Education_Student_Input!$B$2)-600)*0.25)"	1	=P41*O41	20 SF/Occupant
Medical	Medical Suite Toilet			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	60	1	=P42*O42	
Medical	Nurses' Office / Waiting Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	250	1	=P43*O43	
